,Patent's id,WWW_link,Title,Abstract,Publication_date,Owner,Inventors,Image_link,Similarity,patentBERT,BERT,Roberta
10,US20010011248A1,https://patents.google.com/patent/US20010011248A1/en,METHOD AND APPARATUS FOR TRANSMITTING AND TENDERING ELECTRONIC CASH USING A PHONE WALLET,A method in a communications system for transferring cash is provided. The cash is sent in an electronic form to a phone. The cash may be requested from a financial institution using a cash transfer request. The phone stores the electronic cash for use in purchasing goods and services from a merchant. The cash is transferred to a merchant by calling a Payment Access Number.,2001-08-02,Assignee N/A,"MARIA AZUA HIMMEL, HERMAN RODRIGUEZ",https://api.projectpq.ai/patents/US20010011248A1/thumbnails/1,57.57,66.17,84.29,50.27
11,US20160132843A1,https://patents.google.com/patent/US20160132843A1/en,MyMoney - A computer/mobile device application,"A system for exchanging/transferring money between individuals or groups through a social mobile device application. Based on a mobile social media platform between known parties for personal and business monetary exchanges and payment transactions. This system will be carried out on computers or mobile devices using an online currency called MyMoney. Users will be able to transfer/pay or exchange funds via this application using the common online currency that they will buy through this application. This system's secondary purpose will be to act as a social media application where users will be able to chat with each other individually, in a group, upload videos, pictures, communicate via voice calls and video call.",2016-05-12,Assignee N/A,Zaki Ullah Khan,https://api.projectpq.ai/patents/US20160132843A1/thumbnails/1,57.27,31.27,89.38,50.39
12,US20090319425A1,https://patents.google.com/patent/US20090319425A1/en,Mobile Person-to-Person Payment System,"A mobile payment platform and service provides a fast, easy way to make payments by users of mobile devices. The platform also interfaces with nonmobile channels and devices such as e-mail, instant messenger, and Web. In an implementation, funds are accessed from an account holder's mobile device such as a mobile phone or a personal digital assistant to make or receive payments. Financial transactions can be conducted on a person-to-person (P2P) or person-to-merchant (P2M) basis where each party is identified by a unique indicator such as a telephone number or bar code. Transactions can be requested through any number of means including SMS messaging, Web, e-mail, instant messenger, a mobile client application, an instant messaging plug-in application or “widget.” The mobile client application, resident on the mobile device, simplifies access and performing financial transactions in a fast, secure manner.",2009-12-24,"OBOPAY, INC.","John Tumminaro, Carol Realini, Pete Hosokawa, David Schwartz, Sam Shawki, Nirav Shah",https://api.projectpq.ai/patents/US20090319425A1/thumbnails/1,57.21,54.2,89.62,47.5
13,US8306510B2,https://patents.google.com/patent/US8306510B2/en,Person to person virtual cash transfer transaction using mobile phones,"A person to person cash transfer transaction method using mobile phones comprising the steps of: —sender sends a transfer command to the recipient containing the transfer amount, sender's PIN and the recipient's mobile number; —telco verifies if the sender's mobile phone cash account has sufficient balance to effect the transfer of the amount of virtual cash being transferred; —telco deducts the sender's mobile phone cash account with the amount of virtual cash to e transferred and credits the same amount of recipient's mobile phone cash account; —sender and recipient receive SMS acknowledgment with confirmation number from telco; —recipient if registered may not use the virtual cash for any financial transaction.",2012-11-06,"Utiba Pty, Ltd.","Rodell Garcia, Raul Macatangay, Mickey Cayetano, Grace Reyes, Jewel Dimaano, Marlowe Pongol, Sheila Jimenez, Melenita Quito, Jenny Villanueva, Justine Camacho, Glenn Mendoza, Kaytee Reyes, Shydee Buizon-Tiambeng, Jessica A. Reyes, Joanne Avendano, Verna Quinton, Alain Bustamante, Louie Domingo, Fernando P. Teodoro, Richard Matotek, Andrew Barnham, Justin Ho, Rodell Garcia, Raul Macatangay, Mickey Cayetano, Grace Reyes, Jewel Dimaano, Marlowe Pongol, Sheila Jimenez, Melenita Quito, Jenny Villanueva, Justine Camacho, Glenn Mendoza, Kaytee Reyes, Shydee Buizon-Tiambeng, Jessica A. Reyes, Joanne Avendano, Verna Quinton, Alain Bustamante, Louie Domingo, Fernando P. Teodoro, Richard Matotek, Andrew Barnham, Justin Ho",https://api.projectpq.ai/patents/US8306510B2/thumbnails/1,56.6,77.3,85.86,52.63
14,US20110320347A1,https://patents.google.com/patent/US20110320347A1/en,Mobile Networked Payment System,"A mobile payment platform and service provides a fast, easy way to make payments by users of mobile devices. The platform also interfaces with nonmobile channels and devices such as e-mail, instant messenger, and Web. In an implementation, funds are accessed from an account holder's mobile device such as a mobile phone or a personal digital assistant to make or receive payments. Financial transactions can be conducted on a person-to-person (P2P) or person-to-merchant (P2M) basis where each party is identified by a unique indicator such as a telephone number or bar code. Transactions can be requested through any number of means including SMS messaging, Web, e-mail, instant messenger, a mobile client application, an instant messaging plug-in application or “widget.” The mobile client application, resident on the mobile device, simplifies access and performing financial transactions in a fast, secure manner.",2011-12-29,"OBOPAY, INC.","John TUMMINARO, Rodney ROBINSON, David SCHWARTZ",https://api.projectpq.ai/patents/US20110320347A1/thumbnails/1,56.51,27.67,89.62,47.54
15,US20120330824A1,https://patents.google.com/patent/US20120330824A1/en,CASH RETRIEVAL USING PAYMENT PROVIDER,"A payment provider receives a request from a sender to send cash to a recipient, where the request includes an identifier, such as a phone number, of the recipient and an amount to send. If the request can be approved, the payment provider generates a one-time code associated with the request and transmits the code to the recipient. The recipient is then able to enter, present, or otherwise communicate the code to a cash dispenser (such as an ATM, kiosk, clerk or teller), which then communicates the code and other needed information to the payment provider. If approved, the cash dispenser can give the cash to the recipient. Both sender and recipient are not required to have accounts with the payment provider or a bank.",2012-12-27,EBAY INC.,"Genfu Ng, Jennifer Ludgate, Ronald Snodgrass, Katherine Pettengill",https://api.projectpq.ai/patents/US20120330824A1/thumbnails/1,56.03,32.25,84.11,48.97
16,US20070244811A1,https://patents.google.com/patent/US20070244811A1/en,Mobile Client Application for Mobile Payments,"A mobile client application executes on a mobile phone and interfaces with a mobile payment platform. A mobile payment platform and service provides a fast, easy way to make payments by users of mobile devices. The platform also interfaces with nonmobile channels and devices such as e-mail, instant messenger, and Web. In an implementation, funds are accessed from an account holder's mobile device such as a mobile phone or a personal digital assistant to make or receive payments. Financial transactions may be conducted on a person-to-person (P2P) or person-to-merchant (P2M) basis where each party is identified by a unique indicator such as a telephone number or bar code. Transactions may be requested through any number of means including SMS messaging, Web, e-mail, instant messenger, a mobile client application, an instant messaging plug-in application or “widget.” The mobile client application, resident on the mobile device, simplifies access and performing financial transactions in a fast, secure manner.",2007-10-18,OBOPAY INC.,John Tumminaro,https://api.projectpq.ai/patents/US20070244811A1/thumbnails/1,55.86,45.64,89.33,52.58
17,US9792600B1,https://patents.google.com/patent/US9792600B1/en,Payment without account creation,"Technology is disclosed for a convenient money transfer without requiring any account login and/or creation activities. The disclosed technology enables a sender to transfer a specified amount of currency to one or more recipients through a payment application. In response to a request from the sender, the technology provides a user interface to collect a numerical value corresponding to the specified amount of currency, accesses a list of contacts in a database of the sender's mobile device, and then provides the list of contacts to the sender. The technology enables the sender to manually select recipients from the provided list of contacts and can accordingly initiate a payment process based on statuses of selected recipients.",2017-10-17,"Square, Inc.",Brian Grassadonia,https://api.projectpq.ai/patents/US9792600B1/thumbnails/1,55.83,35.69,88.59,54.44
18,US6439456B1,https://patents.google.com/patent/US6439456B1/en,Method for transferring money,"A method for transferring money is described. This method can include providing a cash card having stored thereon an amount of money; making a telephone call to a predetermined telephone number using the cash card as a payment device for the telephone call; dialing a predetermined suffix to the predetermined telephone number followed by a desired dollar amount; debiting the cash card by the desired dollar amount; and, crediting an account associated with the predetermined telephone number by the desired dollar amount.",2002-08-27,Assignee N/A,"Pradeep K. Bansal, Lee Begeja, Jeffrey Joseph Farah, Rajesh Kapadia, John Gerow Ramage, Benjamin J. Stern",https://api.projectpq.ai/patents/US6439456B1/thumbnails/1,55.72,51.99,82.79,55.9
19,US20220237602A1,https://patents.google.com/patent/US20220237602A1/en,AUTHORIZING A PURCHASE TRANSACTION USING A MOBILE DEVICE,"Various embodiments are related to apparatuses and methods for authorizing a purchase transaction using a mobile device. A consumer can pay for a purchase from a seller using a payment object such as a credit card or automated teller machine (ATM) card. The credit card or ATM card can be swiped through a card reader that is part of the seller's sales system, and the sales system can transmit the purchase transaction to a financial system for approval. The consumer can use a mobile device such as a smartphone, instead of the seller's keypad or signature pad, to electronically capture a signature or personal identification number (PIN) as part of the consumer's authorization of the purchase transaction. The consumer can further use the mobile device to review line items of the purchase transaction or to add a tip amount to the total amount of the purchase transaction.",2022-07-28,"Block, Inc.",Paul Aaron,https://api.projectpq.ai/patents/US20220237602A1/thumbnails/1,55.7,69.96,90.03,53.53
20,US11010733B2,https://patents.google.com/patent/US11010733B2/en,Communication device interface for monetary transfers through a displayable contact list,"There is provided systems and method for a communication device interface for monetary transfers through a displayable contact list. A user may import contacts from a contact list application, a social networking service, a user account with a payment provider, and/or another contact source into a communication device, such as a mobile phone. The mobile phone may then execute a monetary transfer module that allows the user to transmit requests for monetary transfers with the contacts. When the user selects a contact in a contact list, the module may retrieve payment account information and initiate a monetary transfer with the selected contact. The monetary transfer may correspond to receiving money or sending money to the contact. Additionally, the user may communicate messages with the request as well as a monetary amount. In order to facilitate completion of the monetary transfer, a payment provider may be utilized.",2021-05-18,"PAYPAL, INC.",Hyunju Lee,https://api.projectpq.ai/patents/US11010733B2/thumbnails/1,55.37,24.8,91.27,49.78
21,US20170262822A1,https://patents.google.com/patent/US20170262822A1/en,DISBURSEMENT AND SETTLEMENTS SYSTEM AND METHOD,"A computer implemented method and a system for transferring funds between a payor and a payee using a single mobile phone. The method is implemented on a payment processing system and uses transaction information including a payor debit card number, a payor PIN, a payee debit card number and an amount of money to transfer the funds from a payor demand deposit account (DDA) to a payee DDA without using a notify and pay instrument. The payor and the payee interact with the payment processing system with a single mobile phone.",2017-09-14,Assignee N/A,Robert Conyers,https://api.projectpq.ai/patents/US20170262822A1/thumbnails/1,55.24,47.39,84.81,56.17
22,US20140164229A1,https://patents.google.com/patent/US20140164229A1/en,SYSTEM AND METHOD FOR PERFORMING PERSON-TO-PERSON FUNDS TRANSFERS VIA WIRELESS COMMUNICATIONS,"A funds-transfer system enables a buyer to transfer funds to a seller via a mobile telephone. The system receives a payment request transmitted from a mobile telephone of the buyer. The payment request is for a transfer of funds from a financial account held by the buyer to a financial account held by the seller, and the payment request is transmitted from a payment application stored in the buyer's mobile telephone. The payment request identifies a purchase amount to be transferred, and information identifying the financial account held by the buyer. The system charges the purchase amount to the financial account held by the buyer and transfers the purchase amount to a financial account held by the seller.",2014-06-12,"American Express Travel Related Services Company, Inc.","Jessica U. Jones, Lee J. Peart, Blayn W. Beenau, Peter D. Saunders",https://api.projectpq.ai/patents/US20140164229A1/thumbnails/1,54.95,45.71,83.84,47.48
23,US8781966B2,https://patents.google.com/patent/US8781966B2/en,Money transfer transactions via pre-paid wireless communication devices,"Systems and methods for performing money transfer transactions via a wireless communication device, such as a cellular phone, are provided. The wireless communication device may be associated with, or automatically linked to, at least one payment source account. The wireless communication device may be associated with at least one pre-paid payment source account. In one example, the wireless communication device is a pre-paid cellular phone and/or is associated with a pre-paid money transfer account. The wireless communication device may access a pre-directed phone number, e.g., *55, to access a money transfer service provider. Once connected to a money transfer service provider, a user may initiate a money transfer via the wireless device, which is optionally paid to a payee in-person at a money transfer service provider location.",2014-07-15,The Western Union Company,"Paul Blair, Rex Lieurance, Diane Scott",https://api.projectpq.ai/patents/US8781966B2/thumbnails/1,54.89,59.84,84.3,53.1
24,US20190156308A1,https://patents.google.com/patent/US20190156308A1/en,MOBILE TELEPHONE TRANSFER OF FUNDS,"A funds-transfer system enables a buyer to transfer funds to a seller via a mobile telephone. The system receives a payment request transmitted from a mobile telephone of the buyer. The payment request is for a transfer of funds from a financial account held by the buyer to a financial account held by the seller, and the payment request is transmitted from a payment application stored in the buyer's mobile telephone. The payment request identifies a purchase amount to be transferred, and information identifying the financial account held by the buyer. The system charges the purchase amount to the financial account held by the buyer and transfers the purchase amount to a financial account held by the seller.",2019-05-23,"American Express Travel Related Services Company, Inc.","Jessica U. Jones, Lee J. Peart, Blayn W. Beenau, Peter D. Saunders",https://api.projectpq.ai/patents/US20190156308A1/thumbnails/1,54.73,40.45,83.84,53.52
25,US20120271762A1,https://patents.google.com/patent/US20120271762A1/en,METHOD AND SYSTEM TO FACILITATE A TRANSFER OF FUNDS BETWEEN PARTIES USING A TELEPHONE-ENABLED DEVICE,"A method and system utilized to receive a registration request to register a mobile telephone with a financial payment system and contact information that identifies the mobile telephone. The system generates a confirmation code responsive to receiving the contact information and communicates the confirmation code to the mobile telephone. The system further receives from the mobile telephone a request to confirm the registration, the request to confirm registration including the confirmation code; and configures the first financial account at the financial payment system to receive instructions from the mobile telephone to transfer funds on the financial payment system.",2012-10-25,eBay Inc.,"94303 Freeland, Franck Chastagnol, Hugo Olliphant, Celine Martig, Thomas Belousek, Bharathi Ramavarjula, Alex Khomenko, Kenneth Kang",https://api.projectpq.ai/patents/US20120271762A1/thumbnails/1,54.67,39.87,85.71,52.64
26,US20150371212A1,https://patents.google.com/patent/US20150371212A1/en,INTEGRATED TRANSACTION AND ACCOUNT SYSTEM,"A method of transferring electronic funds from a user may include displaying a user code and entering user code on the user's mobile computing device or on a payer's terminal. The payer's terminal is identified and the payee may be determined. The terminal and payer may be matched, and a transaction amount may be received from the payer's terminal. The transaction amount may be displayed to the user for confirmation purposes. A confirmation of the transaction amount is received from the user's mobile computing device. If confirmation is received, the transaction may be completed by debiting the payee's account the transaction amount.",2015-12-24,Assignee N/A,"Joseph GIORDANO, Randall TROST",https://api.projectpq.ai/patents/US20150371212A1/thumbnails/1,54.44,36.96,85.04,49.71
27,US20010007983A1,https://patents.google.com/patent/US20010007983A1/en,Method and system for transaction of electronic money with a mobile communication unit as an electronic wallet,"A electronic monetary system comprising a mobile communication unit as an electronic wallet for transactions including electronic payments, money transfer, and recharging the electronic account. The security of the electronic transactions is confirmed by circulating a confirmation number through a loop formed by an E-wallet managing server through the wireless network to the mobile communication unit of the user.",2001-07-12,Assignee N/A,Jong-II Lee,https://api.projectpq.ai/patents/US20010007983A1/thumbnails/1,54.37,40.04,81.58,54.77
28,US20090177581A1,https://patents.google.com/patent/US20090177581A1/en,"METHOD OF CASH-LESS, CARDLESS PURCHASE TRANSACTION USING MOBILE PHONES","The method of cash-less purchase transaction using mobile phone comprising steps of: —customer requesting for purchase at outlet; —merchants verifying if customer is registered with telco's cash product service; —merchant informing the customer of the purchase price to e paid; —merchant sending in a SELL command on his device to a telco containing merchant's PIN, amount of the purchase, and customer's mobile phone number; —customer receiving SMS confirmation query of the amount to be paid from telco; —customer's mobile phone number; —customer replying to the SMS of his confirmation with his PIN; —merchant receiving confirmation from telco of the deduction from customer's mobile phone cash account; —merchant releasing product to the customer; —customer receiving confirmation of the deduction via SMSD sent to his mobile phone; —alternatively, merchant using mobile phone device informing customer of the merchant's mobile number which the customer can send his virtual cash to; —customer sending the amount via SMS to 2882+the 10 digit mobile number of the merchant; —the subscriber and the merchant then getting simultaneous SMS acknowledgment of the transfer with confirmation number",2009-07-09,Assignee N/A,"Rodell Garcia, Raul Macatangay, Mickey Cayetano, Grace Reyes, Jewel Dimaano, Marlowe Pongol, Sheila Jimenez, Melenita Quito, Jenny Villanueva, Justine Camacho, Glenn Mendoza, Kaytee Reyes, Shydee Buizon-Tiambeng, Jessica A. Reyes, Joanne Avendano, Verna Quinton, Alain Bustamante, Louie Domingo, Fernando P. Teodoro, Richard Matotek, Andrew Barnham, Justin Ho",https://api.projectpq.ai/patents/US20090177581A1/thumbnails/1,54.11,26.68,79.86,46.06
29,US20110004547A1,https://patents.google.com/patent/US20110004547A1/en,MOBILE TRANSACTIONS USING ACCOUNT ALIASES,"Embodiments of the invention provide systems and methods for providing a mobile device user with the ability to user their mobile devices to make payments to others without knowing the payment recipient's account number. For example, an embodiment of the includes: (1) receiving a payment request from a mobile phone, such as through a text message, where the payment request includes an alias, and where the alias is not a financial account number; (2) identifying a payment recipient's financial account based at least partially on the alias; and (3) transferring funds to the payment recipient's financial account.",2011-01-06,BANK OF AMERICA CORPORATION,"Joseph A. Giordano, Christopher R. Griggs, Hitesh Bajaj, Douglas G. Brown, Jade M. Vo-Dinh",https://api.projectpq.ai/patents/US20110004547A1/thumbnails/1,53.81,60.21,83.62,58.24
30,US9277390B2,https://patents.google.com/patent/US9277390B2/en,Mobile payment and identity verification system,"Techniques are disclosed relating to facilitating transactions via mobile devices. In one embodiment, an account that is linked to a mobile telephone number of a mobile device is established at a computer system. In such an embodiment, the account permits a user to make and receive payments, and is not accessible without using the mobile device. In some embodiments, the account is established without setting up a username and password. In one embodiment, a request is sent from a payment application of the mobile device to the computer system. In some embodiments, the payment application is made active on the mobile device in response to a user input within a different application running on the mobile device. After the payment application is active, a purchase is confirmed within the payment application such that the request is sent responsive to the confirming and without authenticating the user within the payment application.",2016-03-01,First Data Corporation,"Leonard R. Speiser, John D. Beatty",https://api.projectpq.ai/patents/US9277390B2/thumbnails/1,53.74,39.34,83.87,53.14
31,US20210289071A1,https://patents.google.com/patent/US20210289071A1/en,PERFORMING A CUSTOM ACTION DURING CALL SCREENING BASED ON A PURPOSE OF A VOICE CALL,"A user device may output an indication of an incoming call from a calling device. The user device may receive a request to screen the incoming call. The user device may analyze a transcription of voice input, received from the calling device, for one or more keywords related to a request for funds. The user device may output one or more input options, which permit a user of the user device to respond to the request for funds, including an input option to transfer funds from a first account associated with the user device to a second account associated with the calling device. The user device may detect a user interaction with the input option to transfer funds from the first account to the second account. The user device may transmit a request that causes funds to be transferred from the first account to the second account.",2021-09-16,Assignee N/A,"Brendan WAY, Kaylyn GIBILTERRA, Abdelkader M'Hamed BENKREIRA",https://api.projectpq.ai/patents/US20210289071A1/thumbnails/1,53.19,38.69,80.71,50.69
32,US20080270246A1,https://patents.google.com/patent/US20080270246A1/en,Global electronic payment system,"A global payment system supports real time payments by a first party to a second party via an electronic interface using any of a plurality of input devices. First party identifying information and information relating to the requested transaction desired by the first party is entered into the system via the selected input device for accessing the payment system. The information is verified and the funds are transferred to a dedicated account for a second party per the instructions received from the first party. The global payment system is a financial transaction system permitting the identified first party to use any of a variety of payment options to complete the transaction without requiring the second party to pre-approve the method of payment. The system is compatible with known ATM/POS debit/credit card formats or other electronic input terminal devices, including either a second party controlled device, or a first party controlled device. This can be but is not limited to a merchant or other service provider controlled device at a retail establishment, or on-line while the user is logged onto a web site from a commercially based computer or from the convenience of his personal computer, or other devices such as a PDA or a cell phone. The information can be swiped by a card reader, or manually entered via a keyboard or other input device such as, by way of example, a cell phone or personal digital assistant (PDA). This flexibility permits a consumer and merchant to complete a transaction in real time anywhere in the world without regard to the consumer's source of funds or the merchant's typical method of payment acceptance.",2008-10-30,Assignee N/A,Grace Chen,https://api.projectpq.ai/patents/US20080270246A1/thumbnails/1,53.15,54.34,90.02,43.96
33,US20060004656A1,https://patents.google.com/patent/US20060004656A1/en,Electronic money management method and system using mobile communication terminal,"An electronic money management method and system using a mobile phone is provided, which can be applied to electronic transactions. Upon receiving a request regarding electric money such as issuance, recharging, transfer, or balance checking, together with a mobile phone number and a password, from a user, an ARS server, an electronic money management web server, or an mobile communication service system transmits an authentication number to the user's mobile phone, compares the transmitted authentication number with one received from the user, and transmits the password and phone number to make the request if the authentication numbers are identical. The electronic money management server fulfills the request regarding electronic money, received from the one server or system, for an electronic money account identified by the password and mobile phone number, and transmits the fulfilled result and the account balance to the mobile phone through the one server or system.",2006-01-05,Assignee N/A,Jong-Il Lee,https://api.projectpq.ai/patents/US20060004656A1/thumbnails/1,52.89,32.71,86.16,41.13
